2 | 01/01/2014 | Tahun Baru | Libur Nasional |  |  | 
3 | 01/14/2014 | Maulid Nabi | Libur Nasional |  |  | 
4 | 01/31/2014 | Tahun Baru Imlek | Libur Nasional |  |  | 
5 | 03/31/2014 | Nyepi | Libur Nasional |  |  | 
6 | 04/09/2014 | Pemilu Legislatif | Libur Nasional |  |  | 
7 | 04/18/2014 | Wafatnya Isa AM | Libur Nasional |  |  | 
8 | 05/01/2014 | MayDay | Libur Nasional |  |  | 
9 | 05/15/2014 | Waisak | Libur Nasional |  |  | 
10 | 05/27/2014 | Isra Miraj | Libur Nasional |  |  | 
11 | 05/29/2014 | Kenaikan Isa AM | Libur Nasional |  |  | 
12 | 07/09/2014 | Pemilu Presiden | Libur Nasional |  |  | 
13 | 07/28/2014 | Idul Fitri | Libur Nasional |  |  | 
14 | 07/29/2014 | Idul Fitri | Libur Nasional |  |  | 
15 | 07/30/2014 | Cuti Idul Fitri | Libur Nasional |  |  | 
16 | 07/31/2014 | Cuti Idul Fitri | Libur Nasional |  |  | 
17 | 08/01/2014 | Cuti Idul Fitri | Libur Nasional |  |  | 
18 | 08/17/2014 | HUT Kemerdekaan | Libur Nasional |  |  | 
19 | 10/05/2014 | Idul Adha | Libur Nasional |  |  | 
20 | 10/25/2014 | Tahun Baru Islam | Libur Nasional |  |  | 
21 | 12/25/2014 | Natal | Libur Nasional |  |  | 
22 | 12/26/2014 | Cuti Natal | Libur Nasional |  |  | 
23 | 01/29/2014 | Hari Raya Suci Siwa Ratri | Libur Lokal  |  |  | 
24 | 01/30/2014 | Hari Raya Suci Siwa Ratri I | Libur Lokal  |  |  | 
25 | 03/08/2014 | Hari Raya Suci Saraswati I | Libur Lokal  |  |  | 
26 | 03/12/2014 | Hari Raya Suci Pagerwesi I | Libur Lokal  |  |  | 
27 | 03/30/2014 | Hari Raya Suci Tawur Agung Kesanga | Libur Lokal  |  |  | 
28 | 04/01/2014 | Hari Raya Suci Ngembak Geni | Libur Lokal  |  |  | 
29 | 05/20/2014 | Hari Raya Suci Penampahan Galungan I | Libur Lokal  |  |  | 
30 | 05/21/2014 | Hari Raya Suci Galungan I | Libur Lokal  |  |  | 
31 | 05/22/2014 | Hari Raya Suci Umanis Galungan I | Libur Lokal  |  |  | 
32 | 05/30/2014 | Hari Raya Suci Penampahan Kuningan I | Libur Lokal  |  |  | 
33 | 05/31/2014 | Hari Raya Suci Kuningan I | Libur Lokal  |  |  | 
34 | 06/01/2014 | Hari Raya Suci Umanis Kuningan I | Libur Lokal  |  |  | 
35 | 10/04/2014 | Hari Raya Suci Saraswati II | Libur Lokal  |  |  | 
36 | 10/08/2014 | Hari Raya Suci Pagerwesi II | Libur Lokal  |  |  | 
37 |  |  |  |  |  | 
38 | 12/17/2014 | Hari Raya Suci Galungan II | Libur Lokal  |  |  | 
39 |  |  |  |  |  | 
40 | 12/26/2014 | Hari Raya Suci Penampahan Kuningan II | Libur Lokal  |  |  | 
41 | 12/27/2014 | Hari Raya Suci Kuningan II | Libur Lokal  |  |  | 
42 | 12/28/2014 | Hari Raya Suci Umanis Kuningan II | Libur Lokal  |  |  | 
2 | Senin-Kamis | 7:30 | 4:00 | 8:30 | 1:30 | 5:30
3 | Jumat | 07:30 | 16:30 | 9:00 | 1:30 | 6:00
4 |  |  |  |  |  | 
5 |  |  |  |  |  | 
6 | Kondisi | Senin-Kamis | Jumat | Potongan |  | 
7 | Telat Lebih Dari | 00:30 | 00:30 | 1.50% |  | 
8 | Telat Kurang Dari | 00:30 | 00:30 | 1.00% |  | 
9 |  |  |  |  |  | 
10 | PSW1 | 00:30 | 00:30 | 0.00% |  | 
11 | PSW2 | 01:00 | 01:00 | 1.00% |  | 
12 | PSW3 | 01:30 | 01:30 | 1.25% |  | 
13 | PSW4 | 14:31 | 15:31 | 1.50% |  | 
2 | CPNS | CPNS | 0.0% | 20.0% |  | 
3 | Tugas Belajar | TB | 0.0% | 25.0% |  | 
